Isolation Forest (PCA),Isolation Forest (Stats),Mahalanobis Distance,Combined (≥2 methods),row_index
False,False,False,False,ACH-001704
False,False,False,False,ACH-001502
False,False,False,False,ACH-002844
False,True,False,False,ACH-001068
False,False,False,False,ACH-000358
False,False,False,False,ACH-002695
False,False,False,False,ACH-001672
False,False,False,False,ACH-001654
False,False,False,False,ACH-001521
False,False,False,False,ACH-000209
False,True,False,False,ACH-001520
False,False,False,False,ACH-000213
False,False,False,False,ACH-001610
False,False,False,False,ACH-001408
False,False,False,False,ACH-000991
False,False,False,False,ACH-001412
False,False,False,False,ACH-000331
False,False,False,False,ACH-001407
False,False,False,False,ACH-000580
False,True,False,False,ACH-000594
False,False,False,False,ACH-000684
False,False,False,False,ACH-000742
False,False,False,False,ACH-000868
False,False,False,False,ACH-000732
False,False,False,False,ACH-001481
False,False,False,False,ACH-000429
False,False,False,False,ACH-000310
False,False,False,False,ACH-002475
False,False,False,False,ACH-000643
False,False,False,False,ACH-000234
True,False,False,False,ACH-003267
False,True,False,False,ACH-001498
False,False,False,False,ACH-000896
False,False,False,False,ACH-003451
False,False,False,False,ACH-000203
False,False,False,False,ACH-001607
False,False,False,False,ACH-002706
False,False,False,False,ACH-001441
False,False,False,False,ACH-000112
False,True,False,False,ACH-000874
False,False,False,False,ACH-000186
True,False,False,False,ACH-002780
False,False,False,False,ACH-000677
False,False,False,False,ACH-000055
False,False,False,False,ACH-000485
False,False,False,False,ACH-000672
False,False,False,False,ACH-001150
False,False,False,False,ACH-000287
False,False,False,False,ACH-000784
False,False,False,False,ACH-000530
False,False,False,False,ACH-002024
False,False,False,False,ACH-000380
False,False,False,False,ACH-001737
False,True,False,False,ACH-001400
False,False,False,False,ACH-001054
False,False,False,False,ACH-001695
False,False,False,False,ACH-000009
False,False,False,False,ACH-000491
False,True,False,False,ACH-001703
False,True,False,False,ACH-000002
False,True,False,False,ACH-001568
False,True,False,False,ACH-001449
False,False,False,False,ACH-000993
False,False,False,False,ACH-002680
False,False,False,False,ACH-000877
False,False,False,False,ACH-000711
False,False,False,False,ACH-001515
False,False,False,False,ACH-002847
False,False,False,False,ACH-000702
False,False,False,False,ACH-001020
False,False,False,False,ACH-000600
True,False,False,False,ACH-003266
False,False,False,False,ACH-000354
False,False,False,False,ACH-000012
False,False,False,False,ACH-000689
False,False,False,False,ACH-002668
False,False,False,False,ACH-002533
False,False,False,False,ACH-000459
False,False,False,False,ACH-002050
False,False,False,False,ACH-003120
False,False,False,False,ACH-001413
False,False,False,False,ACH-000686
False,False,False,False,ACH-000342
False,False,False,False,ACH-000208
False,False,False,False,ACH-000360
False,False,False,False,ACH-000249
True,False,False,False,ACH-001368
False,False,False,False,ACH-000231
False,False,False,False,ACH-002074
False,False,False,False,ACH-000945
False,False,False,False,ACH-000662
False,False,False,False,ACH-002458
False,False,False,False,ACH-001378
False,False,False,False,ACH-001029
False,False,False,False,ACH-001817
False,False,False,False,ACH-002846
False,False,False,False,ACH-000248
