iter	Passed	Remaining
114	1134233	8728662
115	1142292	8705058
116	1150251	8680958
117	1158778	8661376
118	1166958	8639412
119	1174716	8614591
120	1183043	8594177
121	1191279	8573306
122	1199390	8551749
123	1207781	8532391
124	1216434	8515039
125	1224915	8496635
126	1232549	8472563
127	1240205	8448899
128	1248270	8428245
129	1261153	8440029
130	1272091	8438530
131	1280344	8419236
132	1288684	8400672
133	1296512	8378954
134	1304142	8356172
135	1311831	8333990
136	1319586	8312432
137	1327947	8294863
138	1335333	8271383
139	1342677	8247874
140	1352963	8242522
141	1364811	8246534
142	1378221	8259689
143	1387020	8245065
144	1395111	8226345
145	1403053	8206901
146	1410556	8185066
147	1417606	8160813
148	1424721	8137169
149	1432196	8115781
150	1439213	8092001
151	1447228	8074013
152	1455153	8055653
153	1462508	8034298
154	1470534	8016782
155	1478367	7998346
156	1485973	7978826
157	1493485	7958953
158	1500827	7938340
159	1508429	7919252
160	1516457	7902534
161	1524923	7888182
162	1532936	7871583
163	1541188	7856301
164	1548691	7837316
165	1556292	7818964
166	1564432	7803426
167	1572229	7786280
168	1579573	7767013
169	1587739	7751903
170	1596065	7737651
171	1603751	7720384
172	1610823	7700296
173	1617799	7679899
174	1624986	7660649
175	1631892	7640223
176	1639353	7622531
177	1647398	7607648
178	1654432	7588206
179	1661949	7571105
180	1670240	7557608
181	1678753	7545165
182	1686725	7530354
183	1694722	7515728
184	1702248	7499093
185	1709351	7480711
186	1716405	7462234
187	1723698	7444911
188	1731468	7429738
189	1739244	7414673
190	1746919	7399256
191	1754599	7383937
192	1762536	7369777
193	1769701	7352469
194	1776909	7335447
195	1783962	7317887
196	1791608	7302849
197	1799572	7289178
198	1807653	7276030
199	1815871	7263484
200	1825498	7256584
201	1834360	7246631
202	1842540	7234013
203	1850248	7219596
204	1858048	7205601
205	1867766	7199061
206	1876989	7190592
207	1888673	7191487
208	1901144	7195241
209	1909716	7184171
210	1918715	7174721
211	1927331	7163853
212	1935850	7152650
213	1943620	7138716
214	1951531	7125358
215	1959769	7113235
216	1967927	7100863
217	1976168	7088825
218	1984327	7076530
219	1991953	7062380
220	1999725	7048806
221	2007397	7034932
222	2015151	7021403
223	2021917	7004499
224	2029002	6988786
225	2036033	6972965
226	2042966	6956886
227	2049809	6940583
228	2057111	6925908
229	2065066	6913484
230	2072411	6899067
231	2079673	6884435
232	2087498	6871722
233	2095724	6860363
234	2103882	6848810
235	2111886	6836785
236	2120367	6826329
237	2128177	6813743
238	2134636	6796896
239	2142813	6785576
240	2155813	6789469
241	2164556	6779891
242	2172394	6767500
243	2180672	6756508
244	2189361	6746808
245	2196649	6732819
246	2204617	6720958
247	2212584	6709128
248	2221216	6699331
249	2229612	6688836
250	2237438	6676660
251	2244150	6661209
252	2255555	6659684
253	2263728	6648588
254	2272025	6637877
255	2282101	6632357
256	2291810	6625738
257	2299471	6613207
258	2306794	6599748
259	2314625	6587779
260	2322209	6575144
261	2329736	6562386
262	2337834	6551270
263	2347368	6544178
264	2355643	6533577
265	2366004	6528748
266	2376235	6523522
267	2384607	6513181
268	2392565	6501729
269	2399421	6487325
270	2406210	6472796
271	2412958	6458212
272	2420854	6446745
273	2428975	6435899
274	2436534	6423591
275	2444609	6412671
276	2452480	6401239
277	2460221	6389496
278	2468838	6380044
279	2476639	6368502
280	2483932	6355684
281	2491454	6343491
282	2499129	6331717
283	2507000	6320465
284	2514255	6307694
285	2521108	6293954
286	2528817	6282392
287	2535955	6269445
288	2546384	6264634
289	2555733	6257139
290	2564718	6248748
291	2573179	6239079
292	2580872	6227565
293	2588969	6217049
294	2600854	6215600
295	2611831	6211922
296	2621594	6205321
297	2630632	6196994
298	2639590	6188471
299	2647168	6176725
300	2654668	6164827
301	2662754	6154313
302	2671633	6145638
303	2681714	6139714
