iter	MultiClass
0	1.312662065
1	1.248108272
2	1.188335644
3	1.132207937
4	1.0803813
5	1.031640399
6	0.9893405486
7	0.9479568203
8	0.9122077623
9	0.8703787585
10	0.8378870005
11	0.8054597757
12	0.7788325883
13	0.7580613601
14	0.7351928967
15	0.7107497768
16	0.6866816927
17	0.6661526744
18	0.6462571957
19	0.6297405188
20	0.6099187396
21	0.59285552
22	0.5820091102
23	0.570924794
24	0.5568727915
25	0.5423998221
26	0.5294890128
27	0.517964464
28	0.504605427
29	0.4905880113
30	0.4779340286
31	0.4656500508
32	0.4552958986
33	0.4465766855
34	0.4361366751
35	0.4272487665
36	0.4182805269
37	0.4106845359
38	0.4015419016
39	0.3933912623
40	0.3861246214
41	0.3792691576
42	0.3719470867
43	0.3658083514
44	0.3582685293
45	0.3513068869
46	0.3439407298
47	0.3394191932
48	0.3336359503
49	0.3277479303
50	0.3222466096
51	0.3146323011
52	0.310864557
53	0.3042650429
54	0.3011580801
55	0.2958453564
56	0.2910504635
57	0.2867751685
58	0.2841192091
59	0.2796487639
60	0.2756505237
61	0.2709265812
62	0.2673703397
63	0.263307516
64	0.2596655698
65	0.2576594222
66	0.2537566495
67	0.2506789716
68	0.2476682738
69	0.245974515
70	0.2414387529
71	0.2398301341
72	0.2375461411
73	0.234455058
74	0.2318480043
75	0.2285578599
76	0.2267313757
77	0.2248663309
78	0.2221451399
79	0.2196294905
80	0.2159817787
81	0.2132247988
82	0.2102523907
83	0.2072186923
84	0.2041567614
85	0.2021722844
86	0.199567816
87	0.1979913068
88	0.1950308771
89	0.1937211334
90	0.1913900692
91	0.1890378527
92	0.1874113362
93	0.1849379831
94	0.1826269282
95	0.1803191762
96	0.1787325081
97	0.17653861
98	0.1754230693
99	0.1732199278
100	0.1713054758
101	0.1686385181
102	0.1667854819
103	0.1643689425
104	0.1620614416
105	0.159866188
106	0.1581068722
107	0.1566157536
108	0.1548986363
109	0.1530474159
110	0.150979567
111	0.1494732142
112	0.1484192757
113	0.1468886925
114	0.1446695704
115	0.1433864933
116	0.1415694298
117	0.1400840221
118	0.139069843
119	0.137619422
120	0.1362620391
121	0.1346840106
122	0.1334223306
123	0.1323176353
124	0.1302466743
125	0.1285400253
126	0.127581724
127	0.1261476684
128	0.1253740277
129	0.1242034323
130	0.1229967585
131	0.1214385557
132	0.1201826213
133	0.1189771435
134	0.1179721205
135	0.116831077
136	0.1162112134
137	0.1154646511
138	0.1145547203
139	0.113592914
140	0.1129609666
141	0.1124523576
142	0.1112806875
143	0.1103720796
144	0.1094040876
145	0.1084338976
146	0.1077564533
147	0.1072101681
148	0.1062329526
149	0.1056863536
150	0.104933426
151	0.1041315803
152	0.1034828711
153	0.1027715766
154	0.1017747076
155	0.1010469663
156	0.1001966156
157	0.09972090669
158	0.09907426882
159	0.09874080415
160	0.09782983317
161	0.09727393059
162	0.09618902257
163	0.09539195434
164	0.09497638811
165	0.09425918019
166	0.09360876522
167	0.09309417297
168	0.09216463489
169	0.09122469896
170	0.0902947824
171	0.08978517086
172	0.08938910421
173	0.08863152967
174	0.08824451671
175	0.08797511275
176	0.08710679165
177	0.08659731332
178	0.08613755656
179	0.08529387022
180	0.08461391387
181	0.08414311169
182	0.08355975353
183	0.08271651431
184	0.08208953932
185	0.08183937841
186	0.08155850645
187	0.08092901871
188	0.08015329624
189	0.07982148109
190	0.07923724455
191	0.07881484072
192	0.07842382945
193	0.07818158676
194	0.07777308665
195	0.07772620527
196	0.07701854674
197	0.07683889703
198	0.07638226058
199	0.07566769315
200	0.07558457352
201	0.0749377111
202	0.07466001674
203	0.07408089032
204	0.07372352256
205	0.07350677056
206	0.07330252018
207	0.07253177345
208	0.07191446452
209	0.07156371556
210	0.07097785337
211	0.07054974982
212	0.07029123266
213	0.07000266032
214	0.06957363971
215	0.06895595654
216	0.06842535247
217	0.06811808113
218	0.06787036371
219	0.06760949992
220	0.0673302798
221	0.06666354411
222	0.06648636236
223	0.0662465519
224	0.06593397455
225	0.06577809907
226	0.06556900112
227	0.0654238748
228	0.06497670613
229	0.06472278044
230	0.06427492543
231	0.0638727417
232	0.06347095131
233	0.06311602516
234	0.06256164098
235	0.06224928655
236	0.06189598319
237	0.06182125865
238	0.06179628416
239	0.0616370641
240	0.06097087242
241	0.06071281406
242	0.06040886249
243	0.06008609137
244	0.05986134508
245	0.05941242831
246	0.05926600508
247	0.05904919685
248	0.05880177351
249	0.05843937154
250	0.05833998649
251	0.05817316688
252	0.0580289011
253	0.05750335176
254	0.05715739479
255	0.05669527519
256	0.05650318508
257	0.05629590492
258	0.05613364589
259	0.05587749601
260	0.05576032987
261	0.05539861045
262	0.05517162022
263	0.05508947939
264	0.0548328343
265	0.05446467449
266	0.05419145063
267	0.05401445283
268	0.05383938201
269	0.05376009727
270	0.0536657026
271	0.0535636683
272	0.05343156991
273	0.05329056203
274	0.05309990471
275	0.05281619229
276	0.05270140195
277	0.05226052435
278	0.05220115421
279	0.05214834707
280	0.05186429518
281	0.05168211304
282	0.05144283404
283	0.0513729218
284	0.05120445493
285	0.05106265758
286	0.05102666369
287	0.05093008649
288	0.05062517498
289	0.05050705739
290	0.05023993152
291	0.05020953094
292	0.0498747333
293	0.04975678123
294	0.04956452935
295	0.04936093418
296	0.0491674364
297	0.04883232326
298	0.04869549906
299	0.04864116309
300	0.04850115839
301	0.04840177534
302	0.04824997134
303	0.04816319625
