,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LYPD2 (137797),0.9607702550414002,2.0222856460536263,0.5327909403628369,3.795645708007771,0.00014725967456687733,0.0004264930203696958
SLURP2 (432355),1.3932986132516045,2.013656968318616,0.5052454145108436,3.9855027091500674,6.733740894593711e-05,0.00020887581948519338
MUC13 (56667),11.815814867178267,2.0038774672154815,0.3839373808425648,5.219282016296248,1.7961808115223513e-07,9.104499779047699e-07
SPOCK2 (9806),6.14088284942955,1.9822765882391362,0.27138901886941125,7.304188638498234,2.789448063381417e-13,3.9331716700487174e-12
LY6G6D (58530),0.7879310704322595,1.9698463922674276,0.7027908403635024,2.8028913855060633,0.00506467226860697,0.010643846639424115
DSG3 (1830),5.0935460518166025,1.9692614430537767,0.3941311772429821,4.99646198209721,5.83916803745935e-07,2.6938438672083463e-06
CALML5 (51806),2.8015348261528588,1.964620249210022,0.5531239082421917,3.5518628284456475,0.0003825142156021012,0.0010192620173684116
DEFB1 (1672),18.30592222575014,1.9596833615702143,0.2792428561288957,7.017846002354466,2.2531467744371182e-12,2.6786278847833134e-11
PROC (5624),1.2684618097729348,1.9594039759505733,0.21391895592014293,9.159562169338697,5.210830054489573e-20,2.307402387049821e-18
GUCY2C (2984),1.0689358998418304,1.9520288138404331,0.6389368973655695,3.055119874730876,0.0022497058323224938,0.005100584314789558
BCL2L15 (440603),1.9025924487942867,1.9446363465768188,0.3417869067695163,5.689616272773675,1.2732516782509e-08,7.852714967115489e-08
GBP6 (163351),0.7765134209056713,1.9174523709628148,0.4372298950626078,4.385455781078855,1.157431697293336e-05,4.196355399294423e-05
PI3 (5266),38.58211958774398,1.9163488486584463,0.2814616311866528,6.80856158112581,9.85793909301565e-12,1.0422572224164904e-10
SLC15A1 (6564),0.7634686814462452,1.915730062063083,0.3777013699052425,5.0720760227682,3.934991183322689e-07,1.8740544112960383e-06
VIL1 (7429),11.312054697103607,1.9113561496419198,0.3429151519647195,5.573845712826851,2.4917643500263658e-08,1.4607725256160516e-07
APOA2 (336),0.9781416047009541,1.8979174565276207,0.4488696651173771,4.228215012104516,2.355526353052795e-05,8.038480091520422e-05
PPP1R1B (84152),10.975151605627746,1.8888807659816755,0.33367412910528266,5.660854711890731,1.50620908979552e-08,9.178152335344637e-08
TNNT3 (7140),1.4790822723399362,1.8850058392338356,0.3937492904156112,4.787325044431623,1.6901896953353873e-06,7.168726468946055e-06
KRT81 (3887),50.387265569476426,1.8799672374002696,0.25109106372927487,7.487192931036529,7.036223496832722e-14,1.0927982975770545e-12
ERP27 (121506),3.692772576818778,1.879242681173807,0.2308413067153945,8.140842329794708,3.925373024739899e-16,8.942135890462394e-15
TTR (7276),0.8359192736216848,1.8733599139455872,0.6200428899383527,3.0213392401481203,0.002516592339145711,0.0056552475601272965
DHRS9 (10170),5.312331390828048,1.8229240570601977,0.3077359762076342,5.9236624834213165,3.1484933596568832e-09,2.161709465227836e-08
MUC20 (200958),12.906871765521077,1.8226920337490609,0.19356755714340207,9.41630953372389,4.672214553690932e-21,2.42278915211789e-19
IGSF21 (84966),0.9825111332470989,1.8210361937984791,0.5402365011337895,3.370812949470624,0.0007494672673930155,0.001882205194070973
FAT2 (2196),4.2275537408081965,1.8165951342301243,0.3765949986073381,4.8237367488892815,1.4089335025967059e-06,6.070081370575149e-06
ADGRF1 (266977),13.214608678696852,1.8093654090668774,0.2691552081106687,6.722386766236824,1.7877165721633794e-11,1.7972936252285403e-10
CTSE (1510),2.6256096578559824,1.8040603467472538,0.48010512807806327,3.7576360701856957,0.00017152609907104095,0.0004894890343511749
RARRES1 (5918),10.731224473971139,1.7993444919753103,0.22966412759610624,7.834678017890925,4.7004567442893985e-15,8.884652292203608e-14
PPBP (5473),0.7919857798536285,1.7976923206574584,0.6280803188795948,2.862201324608107,0.004207095760303261,0.009002396846127409
MYCL (4610),4.825815059765784,1.789602393893974,0.16650225225096044,10.748217334601556,6.041799500812097e-27,6.568477746951855e-25
SPRR2A (6700),2.7236851312880326,1.7834442847095044,0.4336554576905484,4.1125835108989905,3.912558679125002e-05,0.0001275911771156941
GPA33 (10223),2.450159026305091,1.772120750648179,0.5553695113485985,3.1908859136774637,0.0014183727599377692,0.0033617844215394666
KLK8 (11202),16.193612783165626,1.7428176879290036,0.3105303633530312,5.612390585933314,1.9955038551706497e-08,1.1884066026788863e-07
GJB6 (10804),2.243874152380139,1.7412477247806992,0.3901784710974207,4.462695545152055,8.093501098210117e-06,3.0212159912901797e-05
SPRR1A (6698),3.4203085882680386,1.7403346659312684,0.44046973928529715,3.951087919808344,7.779673565140135e-05,0.00023790256853708843
FCRL1 (115350),0.5628592826150859,1.739430776892566,0.7380233216393384,2.3568777921934037,0.018429310746663388,0.03415868954854811
SLC1A6 (6511),0.733191584942105,1.731460873496036,0.5743871987117161,3.0144489246618,0.002574465543834793,0.005771313258391877
IGFL1 (374918),3.2538423879053275,1.7290787984926197,0.33024764377928184,5.235703663788241,1.6435747518476938e-07,8.398480514789966e-07
SFTA2 (389376),4.538239142656086,1.727107773848637,0.432895315455394,3.989666120622643,6.61663659991767e-05,0.00020568854143384374
TP63 (8626),9.504792432386688,1.7266730559221861,0.2866969247179145,6.022642404068639,1.7159228009626917e-09,1.2351510061358846e-08
ALDH3A1 (218),35.403966669841516,1.7165748182824336,0.2769166106387232,6.198887146289494,5.686378497666595e-10,4.4775260058549555e-09
CXorf49 (100130361),1.047089810913105,1.7119613035364607,0.49060573985973027,3.489484864212819,0.00048395246385994227,0.0012644601989176025
HPCA (3208),1.447187367186809,1.704734230843602,0.33661777788858205,5.064302430894949,4.0989848431236515e-07,1.946863424736404e-06
CDH17 (1015),9.814294943984944,1.7046285997574702,0.5303898713842942,3.2139161996221097,0.001309378816072026,0.003126484043707879
ALPG (251),2.3328338891859746,1.70199165285109,0.401200139594122,4.242250898947659,2.2128909936296988e-05,7.591733106328308e-05
KCNH6 (81033),0.5331410349259783,1.6871257697422999,0.5305986154513458,3.179664855150765,0.0014744547377436015,0.003479015788922337
GRAMD2A (196996),1.9602773359800243,1.6869479769841802,0.24376533914897877,6.92037671505542,4.504441808743357e-12,5.0865344321654934e-11
OR51E2 (81285),0.5319885585618008,1.686032655716679,0.7682743822020128,2.194570969403152,0.028194387904369417,0.04986048136913613
ACTL8 (81569),2.2171356062370418,1.681476853449595,0.40044335090567174,4.199038015356342,2.6805132071607338e-05,9.043750015780787e-05
SPANXC (64663),1.7612636405407962,1.6810276988924169,0.42891196123584524,3.919283794391718,8.881249019312206e-05,0.0002691349664368274
CCL24 (6369),0.5422187972736929,1.6738056535653516,0.5345324596326213,3.1313452034619957,0.0017400749195962226,0.004039249158079053
MUC6 (4588),0.643096613109746,1.670940399294084,0.6563698126514417,2.545730115990906,0.010904946219775617,0.021384060173031412
ORM1 (5004),0.9379747604484393,1.6685221826648096,0.5830355835096365,2.861784477408714,0.0042126326158182315,0.009011798148427005
SOX1 (6656),0.7415029195354819,1.656035564280305,0.6071320188797237,2.727636679969559,0.006378982438996951,0.01315174982583677
GRB7 (2886),16.34176424395091,1.6495706369922662,0.16954593540862897,9.729343455014565,2.2604718982128686e-22,1.3919562110713928e-20
PRAP1 (118471),3.6848108958369803,1.648889055868003,0.43977758707188713,3.7493703734348593,0.00017727910217438443,0.0005045365168219888
MAB21L4 (79919),3.077450764231035,1.6486196852733417,0.25638565929707996,6.430233616783722,1.2740797650642083e-10,1.1065891689516352e-09
GRIK3 (2899),1.352861973230727,1.6443077634150836,0.42420777865262005,3.876184846581025,0.00010610708797758787,0.00031685397516171534
TTC22 (55001),1.6961490774594958,1.6430076771823634,0.19293983650508853,8.515647711451395,1.6566173330743536e-17,4.80053596297502e-16
SAA2-SAA4 (100528017),1.2858212292562812,1.6409206367848408,0.40374248161553683,4.064275402030656,4.818190892657935e-05,0.00015390873603213717
